Episode_ID,Title,Rating
S01E01,"S1.E1 ∙ Pilot",7.3
S01E02,"S1.E2 ∙ Diversity Day",8.1
S01E03,"S1.E3 ∙ Health Care",7.6
S01E04,"S1.E4 ∙ The Alliance",7.8
S01E05,"S1.E5 ∙ Basketball",8.2
S01E06,"S1.E6 ∙ Hot Girl",7.5
S02E01,"S2.E1 ∙ The Dundies",8.6
S02E02,"S2.E2 ∙ Sexual Harassment",8.1
S02E03,"S2.E3 ∙ Office Olympics",8.2
S02E04,"S2.E4 ∙ The Fire",8.1
S02E05,"S2.E5 ∙ Halloween",7.9
S02E06,"S2.E6 ∙ The Fight",7.9
S02E07,"S2.E7 ∙ The Client",8.5
S02E08,"S2.E8 ∙ Performance Review",8.0
S02E09,"S2.E9 ∙ E-Mail Surveillance",8.2
S02E10,"S2.E10 ∙ Christmas Party",8.7
S02E11,"S2.E11 ∙ Booze Cruise",8.5
S02E12,"S2.E12 ∙ The Injury",9.0
S02E13,"S2.E13 ∙ The Secret",8.1
S02E14,"S2.E14 ∙ The Carpet",7.6
S02E15,"S2.E15 ∙ Boys and Girls",8.0
S02E16,"S2.E16 ∙ Valentine's Day",8.1
S02E17,"S2.E17 ∙ Dwight's Speech",8.3
S02E18,"S2.E18 ∙ Take Your Daughter to Work Day",8.2
S02E19,"S2.E19 ∙ Michael's Birthday",8.0
S02E20,"S2.E20 ∙ Drug Testing",8.2
S02E21,"S2.E21 ∙ Conflict Resolution",8.5
S02E22,"S2.E22 ∙ Casino Night",9.3
S03E01,"S3.E1 ∙ Gay Witch Hunt",8.9
S03E02,"S3.E2 ∙ The Convention",8.0
S03E03,"S3.E3 ∙ The Coup",8.4
S03E04,"S3.E4 ∙ Grief Counseling",7.8
S03E05,"S3.E5 ∙ Initiation",7.9
S03E06,"S3.E6 ∙ Diwali",7.7
S03E07,"S3.E7 ∙ Branch Closing",8.5
S03E08,"S3.E8 ∙ The Merger",8.6
S03E09,"S3.E9 ∙ The Convict",8.2
S03E10,"S3.E10 ∙ A Benihana Christmas",8.6
S03E11,"S3.E11 ∙ Back from Vacation",8.5
S03E12,"S3.E12 ∙ Traveling Salesmen",8.5
S03E13,"S3.E13 ∙ The Return",8.7
S03E14,"S3.E14 ∙ Ben Franklin",7.8
S03E15,"S3.E15 ∙ Phyllis' Wedding",8.0
S03E16,"S3.E16 ∙ Business School",8.8
S03E17,"S3.E17 ∙ Cocktails",8.3
S03E18,"S3.E18 ∙ The Negotiation",8.9
S03E19,"S3.E19 ∙ Safety Training",8.6
S03E20,"S3.E20 ∙ Product Recall",8.5
S03E21,"S3.E21 ∙ Women's Appreciation",8.6
S03E22,"S3.E22 ∙ Beach Games",9.0
S03E23,"S3.E23 ∙ The Job",9.2
S04E01,"S4.E1 ∙ Fun Run",8.7
S04E02,"S4.E2 ∙ Dunder Mifflin Infinity",8.1
S04E03,"S4.E3 ∙ Launch Party",8.2
S04E04,"S4.E4 ∙ Money",8.5
S04E05,"S4.E5 ∙ Local Ad",8.6
S04E06,"S4.E6 ∙ Branch Wars",8.3
S04E07,"S4.E7 ∙ Survivor Man",8.0
S04E08,"S4.E8 ∙ The Deposition",8.6
S04E09,"S4.E9 ∙ Dinner Party",9.4
S04E10,"S4.E10 ∙ Chair Model",7.8
S04E11,"S4.E11 ∙ Night Out",8.5
S04E12,"S4.E12 ∙ Did I Stutter?",8.1
S04E13,"S4.E13 ∙ Job Fair",7.6
S04E14,"S4.E14 ∙ Goodbye, Toby",9.2
S05E01,"S5.E1 ∙ Weight Loss",8.7
S05E02,"S5.E2 ∙ Business Ethics",8.1
S05E03,"S5.E3 ∙ Baby Shower",7.8
S05E04,"S5.E4 ∙ Crime Aid",7.9
S05E05,"S5.E5 ∙ Employee Transfer",7.8
S05E06,"S5.E6 ∙ Customer Survey",8.4
S05E07,"S5.E7 ∙ Business Trip",8.0
S05E08,"S5.E8 ∙ Frame Toby",8.5
S05E09,"S5.E9 ∙ The Surplus",8.6
S05E10,"S5.E10 ∙ Moroccan Christmas",8.2
S05E11,"S5.E11 ∙ The Duel",8.6
S05E12,"S5.E12 ∙ Prince Family Paper",7.8
S05E13,"S5.E13 ∙ Stress Relief",9.7
S05E14,"S5.E14 ∙ Lecture Circuit: Part 1",8.0
