Episode_ID,Title,Rating
S01E01,"S1.E0 ∙ Unaired Pilot",7.5
S01E02,"S1.E1 ∙ Cartman Gets an Anal Probe",7.8
S01E03,"S1.E2 ∙ Volcano",7.6
S01E04,"S1.E3 ∙ Weight Gain 4000",7.5
S01E05,"S1.E4 ∙ Big Gay Al's Big Gay Boat Ride",7.6
S01E06,"S1.E5 ∙ An Elephant Makes Love to a Pig",7.4
S01E07,"S1.E6 ∙ Death",8.0
S01E08,"S1.E7 ∙ Pinkeye",8.3
S01E09,"S1.E8 ∙ Starvin' Marvin",8.1
S01E10,"S1.E9 ∙ Mr. Hankey, the Christmas Poo",8.1
S01E11,"S1.E10 ∙ Damien",7.8
S01E12,"S1.E11 ∙ Tom's Rhinoplasty",7.9
S01E13,"S1.E12 ∙ Mecha-Streisand",7.5
S01E14,"S1.E13 ∙ Cartman's Mom Is a Dirty Slut",8.5
S02E01,"S2.E1 ∙ Terrance and Phillip in Not Without My Anus",6.1
S02E02,"S2.E2 ∙ Cartman's Mom is Still a Dirty Slut",8.2
S02E03,"S2.E3 ∙ Ike's Wee Wee",8.0
S02E04,"S2.E4 ∙ Chickenlover",8.0
S02E05,"S2.E5 ∙ Conjoined Fetus Lady",7.6
S02E06,"S2.E6 ∙ The Mexican Staring Frog of Southern Sri Lanka",7.5
S02E07,"S2.E7 ∙ City on the Edge of Forever",7.2
S02E08,"S2.E8 ∙ Summer Sucks",7.3
S02E09,"S2.E9 ∙ Chef's Chocolate Salty Balls",7.5
S02E10,"S2.E10 ∙ Chickenpox",7.9
S02E11,"S2.E11 ∙ Roger Ebert Should Lay Off the Fatty Foods",7.5
S02E12,"S2.E12 ∙ Clubhouses",7.9
S02E13,"S2.E13 ∙ Cow Days",7.5
S02E14,"S2.E14 ∙ Chef Aid",7.7
S02E15,"S2.E15 ∙ Spookyfish",8.4
S02E16,"S2.E16 ∙ Merry Christmas Charlie Manson!",8.1
S02E17,"S2.E17 ∙ Gnomes",8.2
S02E18,"S2.E18 ∙ Prehistoric Ice Man",7.8
S03E01,"S3.E1 ∙ Rainforest Shmainforest",8.4
S03E02,"S3.E2 ∙ Spontaneous Combustion",8.1
S03E03,"S3.E3 ∙ The Succubus",8.0
S03E04,"S3.E4 ∙ Jakovasaurs",6.4
S03E05,"S3.E5 ∙ Tweek vs. Craig",7.6
S03E06,"S3.E6 ∙ Sexual Harassment Panda",8.2
